region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
Saint Kitts and Nevis,28.04,28.14,89.83,5.72,22.21,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Lucia,18.8,18.56,57.87,3.77,14.9,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Vincent and the Grenadines,17.87,17.6,55.48,3.47,13.67,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Samoa,8.22,8.09,24.23,1.67,6.14,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
San Marino,68.09,70,216.9,14.21,54.39,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sao Tome and Principe,4,3.92,11.93,0.79,3.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Saudi Arabia,36.04,36.08,109.31,6.78,28.6,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Senegal,4.01,3.95,11.8,0.82,2.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Serbia,18.75,19.03,57.7,4.01,14.89,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Seychelles,35.45,34.47,106.02,7.33,27.26,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sierra Leone,2.56,2.55,7.55,0.49,1.95,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Singapore,78.94,78.23,237.08,16.58,66.07,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovakia,35.72,34.2,105.29,6.89,26.75,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovenia,40.28,40.18,123.79,8.68,30.62,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Solomon Islands,5.65,5.62,16.92,1.12,4.27,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Somalia,NA,NA,NA,NA,NA,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
South Africa,17.63,17.44,52.75,3.61,13.33,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Spain,46.69,46.46,133.73,10.05,34.72,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sri Lanka,9.59,9.55,28.92,1.88,6.94,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sudan,5.23,5.25,17.37,1.01,4.26,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Suriname,14.04,13.74,42.95,2.87,10.22,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Swaziland,9.85,9.55,30.22,2.12,7.1,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Sweden,56.47,59.08,177.22,10.89,46.76,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Switzerland,68.14,68.83,211.84,14.38,55.37,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Syrian Arab Republic,10.66,10.52,32.15,2.13,8.48,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tajikistan,4.18,4.21,12.88,0.88,3.16,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Thailand,15.53,15.33,44.7,3,11.94,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
The former Yugoslav Republic of Macedonia,18.87,19.32,58.01,4.02,15.3,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Timor-Leste,3.38,3.46,10.9,0.69,2.83,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Togo,2.26,2.21,6.61,0.45,1.69,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tonga,8.77,8.47,25.23,1.69,6.38,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Trinidad and Tobago,39.43,38.93,114.28,8.36,28.71,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tunisia,16.45,16.73,51.76,3.53,13.38,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkey,25.71,25.75,77.61,5.39,21.2,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkmenistan,14.44,14.29,40.96,2.84,10.47,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Tuvalu,5.54,5.49,16.21,1.18,4.39,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uganda,2.86,2.86,8.46,0.56,2.18,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Ukraine,12.13,11.8,36.42,2.28,8.9,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Arab Emirates,59.89,59.87,188.68,11.86,44.75,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Kingdom,51.51,52.22,162.83,10.89,40.23,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United Republic of Tanzania,3.12,3.12,9.52,0.67,2.75,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
United States of America,65.46,64.07,195.88,12.88,49.98,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uruguay,22.99,23.07,66.4,4.72,18.29,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Uzbekistan,6.33,6.23,18.6,1.3,4.73,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Vanuatu,8.54,8.5,27.1,1.76,6.75,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Venezuela (Bolivarian Republic of),20.31,20.18,61.14,4.13,15.65,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Viet Nam,6.28,6.19,18.86,1.29,4.64,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Yemen,5.2,5.07,14.69,1.04,3.72,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
Zambia,3.38,3.31,9.92,0.72,2.41,health centre (with beds),Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO D,6.38,6.39,20.91,1.25,5.35,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO E,5.5,5.44,16.29,1.09,4.26,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO A,71.74,72.97,216.3,13.95,57.39,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO B,23.9,23.59,73.07,5.12,17.89,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO D,13.69,13.6,38.5,3.11,9.8,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Andean Latin America,16.86,16.86,52.33,3.45,13.4,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Australasia,64.95,65.97,202.32,13.06,51.34,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Caribbean,12.51,12.33,37.43,2.53,9.15,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Asia,12.81,12.5,36.05,2.64,9.41,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Europe,32.64,32.19,99.73,6.84,24.67,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Latin America,23.39,23.51,66.95,4.73,17.63,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Sub-Saharan Africa,5.11,5.02,15.26,1.01,3.71,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO B,31.33,31.28,89.59,6.63,24,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO D,7.78,7.86,25,1.54,6.22,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO A,58.06,57.02,176.56,12.65,44.34,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO B,24.69,24.62,77.86,4.78,19.61,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO C,30.64,31.47,95.46,6.55,25.63,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
East Asia,15.11,15.21,44.62,3.05,12.09,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Europe,30.87,30.36,92.92,5.88,23.66,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Sub-Saharan Africa,3.47,3.4,10.39,0.7,2.72,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income Asia Pacific,55.07,56.08,164.87,11.98,43.22,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income North America,73.59,73.52,230.02,14.59,57.44,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
North Africa and the Middle East,22.21,22.77,66.05,4.48,17.11,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Oceania,6.54,6.41,18.71,1.32,4.71,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO B,11.29,11.17,33.14,2.33,8.16,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO D,7.23,7.21,21.57,1.48,5.82,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
South Asia,7.15,7.01,20.68,1.51,5.61,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southeast Asia,10.37,10.51,31.92,2.28,7.75,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Latin America,30.43,30.07,93.28,6.63,22.85,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Sub-Saharan Africa,19.44,19.41,57.16,4.07,14.18,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tropical Latin America,21.37,20.92,64.42,4.06,16.07,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO A,58.65,59.79,177.77,12.74,46.12,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO B,15.55,15.44,49.46,3.43,12.21,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Europe,58.68,59.63,176.61,12.72,45.87,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Sub-Saharan Africa,4.66,4.55,14,0.97,3.54,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Afghanistan,1.7,1.69,5.06,0.33,1.33,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Albania,17.43,17.07,49.81,3.71,12.21,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Algeria,16.25,15.95,47.84,3.23,13.2,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Andorra,69.52,67.29,205.6,13.76,54.16,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Angola,11.9,11.51,34.62,2.33,8.6,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Antigua and Barbuda,35.18,35.2,101.29,7.31,25.51,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Argentina,29.44,29.27,90.98,5.69,22.67,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Armenia,12.03,12.35,37.9,2.47,9.84,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Australia,67.72,69.34,206.91,13.55,53.56,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Austria,65.87,65.35,197.54,12.92,48.12,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Azerbaijan,19.39,19.69,58.19,4.17,15.3,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahamas,51.07,50.71,147.18,10.92,40.58,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahrain,36.32,37.07,116.72,7.12,28.67,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bangladesh,4.08,4.05,13.13,0.8,3.35,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Barbados,39.19,39.96,119.73,7.33,31.97,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belarus,26.09,24.83,74.12,5.04,18.92,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belgium,62.42,61.08,185.23,12.45,47.3,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belize,15.16,14.53,43.3,2.95,10.97,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Benin,3.78,3.81,11.65,0.79,3.11,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bhutan,11.87,11.49,33.34,2.26,8.72,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bolivia Plurinational States of,10.25,10.32,31.88,2.15,8.13,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bosnia and Herzegovina,17.08,16.91,51.06,3.46,12.9,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Botswana,27.01,27.23,82.29,5.83,20.77,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Brazil,3.55,3.54,10.12,0.75,2.68,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Brunei Darussalam,79.51,78.9,229.32,16.13,58.34,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bulgaria,26.11,25.49,72.62,5.68,18.53,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Burkina Faso,3.29,3.41,10.72,0.69,2.59,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Burundi,1.54,1.56,4.64,0.31,1.18,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cote d'Ivoire,4.78,4.9,14.62,1.07,3.86,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cabo Verde Republic of,8.76,8.67,25.52,1.93,6.43,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cambodia,5.2,5.06,15.71,1.04,3.78,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cameroon,5.22,5.18,15.61,1.15,3.84,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Canada,64.05,64.18,186.08,14.05,49.39,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central African Republic,2.2,2.17,6.67,0.41,1.65,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Chad,3.63,3.61,11.33,0.76,2.77,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Chile,33.55,34.71,100.36,7.46,27.1,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
China,15.11,15.03,45.79,3.18,11.32,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Colombia,34.82,34.11,101.73,6.9,25.96,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Comoros,3.08,3.06,9.17,0.69,2.33,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Congo,9.2,9.02,28.46,1.76,6.87,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cook Islands,18.61,17.84,52.53,3.46,14.15,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Costa Rica,22.32,22.27,72.74,4.72,19.05,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Croatia,33.81,34.33,103.56,7.08,26.07,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cuba,8.73,8.59,24.79,1.77,6.29,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
